"code","region","candidate","share","votes"
16,"Вінницька","Зеленський В.О.",62.97,484827
1,"Волинська","Зеленський В.О.",63.42,310445
19,"Дніпропетровська","Зеленський В.О.",87.25,1434652
20,"Донецька","Зеленський В.О.",86.94,710474
8,"Житомирська","Зеленський В.О.",73.62,430688
13,"Закарпатська","Зеленський В.О.",80.67,353760
24,"Запорізька","Зеленський В.О.",86.55,754798
14,"Івано-Франківська","Зеленський В.О.",54.58,343833
9,"Київська","Зеленський В.О.",70.02,668245
18,"Кіровоградська","Зеленський В.О.",80.47,355512
12,"Луганська","Зеленський В.О.",89.44,267710
5,"Львівська","Зеленський В.О.",34.49,448186
22,"Миколаївська","Зеленський В.О.",85.52,452556
25,"Одеська","Зеленський В.О.",87.21,907033
10,"Полтавська","Зеленський В.О.",82.15,595540
7,"Рівненська","Зеленський В.О.",60.06,309675
4,"Сумська","Зеленський В.О.",82.12,446812
6,"Тернопільська","Зеленський В.О.",50.43,262024
11,"Харківська","Зеленський В.О.",86.88,1154617
23,"Херсонська","Зеленський В.О.",83.02,388327
15,"Хмельницька","Зеленський В.О.",70.8,443308
17,"Черкаська","Зеленський В.О.",77.43,459021
21,"Чернівецька","Зеленський В.О.",75.87,282223
3,"Чернігівська","Зеленський В.О.",77.8,394756
2,"м. Київ","Зеленський В.О.",60.17,856310
16,"Вінницька","Порошенко П.О.",34.74,267469
1,"Волинська","Порошенко П.О.",33.97,166266
19,"Дніпропетровська","Порошенко П.О.",10.81,177816
20,"Донецька","Порошенко П.О.",10.59,86550
8,"Житомирська","Порошенко П.О.",24.23,141770
13,"Закарпатська","Порошенко П.О.",16.69,73223
24,"Запорізька","Порошенко П.О.",11.51,100419
14,"Івано-Франківська","Порошенко П.О.",42.46,267488
9,"Київська","Порошенко П.О.",27.68,264163
18,"Кіровоградська","Порошенко П.О.",17.51,77370
12,"Луганська","Порошенко П.О.",8.43,25252
5,"Львівська","Порошенко П.О.",62.79,815966
22,"Миколаївська","Порошенко П.О.",12.52,66283
25,"Одеська","Порошенко П.О.",10.6,110297
10,"Полтавська","Порошенко П.О.",15.62,113243
7,"Рівненська","Порошенко П.О.",37.49,193301
4,"Сумська","Порошенко П.О.",15.87,86397
6,"Тернопільська","Порошенко П.О.",46.64,242333
11,"Харківська","Порошенко П.О.",11.17,148505
23,"Херсонська","Порошенко П.О.",15.05,70431
15,"Хмельницька","Порошенко П.О.",26.83,168025
17,"Черкаська","Порошенко П.О.",20.13,119343
21,"Чернівецька","Порошенко П.О.",21.64,80509
3,"Чернігівська","Порошенко П.О.",19.99,101451
2,"м. Київ","Порошенко П.О.",36.95,525831
